Video_ID,Channel_ID,Channel_Name,Video_Title,YouTube_URL,Transcript_Path,Family_Count,Family_List,Tool_Total_Mentions,Tool_List,Tactic_Total_Mentions,Dominant_Tactic,Platform_Signal,Tactic_Initial_Access,Tactic_Execution,Tactic_Persistence,Tactic_Privilege_Escalation,Tactic_Credential_Access,Tactic_Lateral_Movement,Tactic_Discovery,Tactic_Command_and_Control,Tactic_Exfiltration,Tactic_Impact,Tool_Cobalt_Strike,Tool_Mimikatz,Tool_PsExec,Tool_Rclone,Tool_MegaNZ,Tool_AnyDesk,Tool_TeamViewer,Tool_BloodHound,Platform_Windows,Platform_Linux,Platform_ESXi
V0205,C22,Threatpost,"Patrick Wardle: Hackers Abusing Apple Technologies, 'Powerful' iOS Bugs",https://www.youtube.com/watch?v=gtLXRQFCgOg,transcripts/C22_Threatpost/V0205.txt,1,Play,0,,12,Initial_Access,Windows,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0
V0203,C22,Threatpost,Malware Partnerships: A Formidable Threat to Businesses,https://www.youtube.com/watch?v=H7b704TFhW4,transcripts/C22_Threatpost/V0203.txt,2,"Egregor, Ryuk",0,,20,Initial_Access,,11,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V0204,C22,Threatpost,"Email Security Attacks End in Financial Ruin, Emotional Despair",https://www.youtube.com/watch?v=VQO8HQSA54I,transcripts/C22_Threatpost/V0204.txt,1,Play,0,,2,Initial_Access,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
V0211,C22,Threatpost,"Amid Olympics Uncertainty, 5G Security Lessons Emerge",https://www.youtube.com/watch?v=RsMSnVUsNpQ,transcripts/C22_Threatpost/V0211.txt,2,"Play, Qilin",0,,28,Initial_Access,Windows,12,1,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0
V0206,C22,Threatpost,Ransomware And IP Theft Top COVID-19 Healthcare Security Scares,https://www.youtube.com/watch?v=pPyTJO5c4_U,transcripts/C22_Threatpost/V0206.txt,0,,0,,4,Initial_Access,,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V0209,C22,Threatpost,Black Hat USA 2020: Critical Meetup.com Flaws Show AppSec Holes,https://www.youtube.com/watch?v=M85zrOA59OE,transcripts/C22_Threatpost/V0209.txt,1,Play,0,,11,Initial_Access,,6,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V0183,C20,LiveOverflow,The World's Hardest Hacking Competition - Pwn2Own Documentary (Part 1),https://www.youtube.com/watch?v=YQEq5s4SRxY,transcripts/C20_LiveOverflow/V0183.txt,1,Qilin,0,,20,Initial_Access,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V0190,C20,LiveOverflow,Local Root Exploit in HospitalRun Software,https://www.youtube.com/watch?v=duLJUpptSik,transcripts/C20_LiveOverflow/V0190.txt,1,Play,0,,51,Initial_Access,Linux,41,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
V0188,C20,LiveOverflow,Reinventing Web Security,https://www.youtube.com/watch?v=LxUAnZY_08o,transcripts/C20_LiveOverflow/V0188.txt,0,,0,,34,Initial_Access,,32,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
V0191,C20,LiveOverflow,Android App Bug Bounty Secrets,https://www.youtube.com/watch?v=nxlm7pIvMdg,transcripts/C20_LiveOverflow/V0191.txt,1,Play,0,,18,Initial_Access,,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
