Video_ID,before_families,after_families,lost
V0001,Play,Play,
V0006,Play,,Play
V0012,"Cactus, Maze, Play","Maze, Play",Cactus
V0015,Play,,Play
V0017,Play,,Play
V0020,"Play, Qilin",Qilin,Play
V0024,Qilin,,Qilin
V0025,Play,,Play
V0027,Play,,Play
V0029,"Play, Qilin",,"Play, Qilin"
V0030,Qilin,,Qilin
V0031,Play,Play,
V0035,Play,,Play
V0036,Play,Play,
V0037,Play,,Play
V0038,Play,,Play
V0039,Play,,Play
V0040,Play,,Play
V0041,Play,,Play
V0044,Play,,Play
V0047,"Play, Royal",Play,Royal
V0048,Play,,Play
V0051,Play,,Play
V0052,Play,,Play
V0053,Play,,Play
V0054,Play,,Play
V0055,"Play, Qilin",,"Play, Qilin"
V0056,Qilin,,Qilin
V0057,Qilin,,Qilin
V0058,Play,,Play
V0059,Play,,Play
V0060,"Play, Qilin",,"Play, Qilin"
V0061,Play,Play,
V0062,"Hive, INC, Play","Hive, INC, Play",
V0063,"Play, Qilin",Play,Qilin
V0064,"Hive, Qilin, Royal",Royal,"Hive, Qilin"
V0065,"Play, Royal","Play, Royal",
V0068,"Play, Royal",Royal,Play
V0074,Play,,Play
V0075,Play,,Play
V0076,Play,,Play
V0077,Qilin,,Qilin
V0078,Play,,Play
V0081,Play,,Play
V0083,Qilin,,Qilin
V0085,"Hive, Play, Qilin",,"Hive, Play, Qilin"
V0086,"Play, Qilin",,"Play, Qilin"
V0088,Play,,Play
V0089,Play,,Play
V0090,Play,Play,
V0092,Play,,Play
V0093,Play,Play,
V0094,Play,,Play
V0095,"Hive, Play","Hive, Play",
V0096,Play,,Play
V0097,Play,Play,
V0098,Play,Play,
V0099,Play,Play,
V0100,Play,,Play
V0101,"Play, Royal",Royal,Play
V0103,"Play, Royal","Play, Royal",
V0104,Hive,,Hive
V0107,Play,,Play
V0115,Play,Play,
V0117,Play,,Play
V0118,INC,INC,
V0120,Play,,Play
V0121,Play,,Play
V0124,Play,,Play
V0126,Play,,Play
V0128,"Play, Qilin",,"Play, Qilin"
V0130,Play,Play,
V0135,Play,Play,
V0136,Qilin,,Qilin
V0137,Qilin,Qilin,
V0138,Play,,Play
V0139,"Play, Qilin",,"Play, Qilin"
V0140,Play,,Play
V0141,Play,,Play
V0142,Play,,Play
V0143,Play,,Play
V0146,Play,,Play
V0147,"Play, Qilin",,"Play, Qilin"
V0148,Play,,Play
V0149,Qilin,,Qilin
V0152,Qilin,,Qilin
V0153,Play,,Play
V0157,"Play, Qilin",,"Play, Qilin"
V0159,Play,,Play
V0160,"Play, Qilin",Qilin,Play
V0161,Play,,Play
V0162,Play,,Play
V0174,Play,,Play
V0178,Play,,Play
V0181,Play,Play,
V0183,Qilin,,Qilin
V0184,Play,,Play
V0185,Play,,Play
V0186,Play,,Play
V0190,Play,,Play
V0191,Play,,Play
V0192,Play,,Play
V0193,"Medusa, Play",Medusa,Play
V0196,Play,,Play
V0197,Play,Play,
V0198,Play,Play,
V0200,Play,Play,
V0201,Play,Play,
V0204,Play,Play,
V0205,Play,,Play
V0207,Play,Play,
V0209,Play,,Play
V0210,Play,Play,
V0211,"Play, Qilin",Play,Qilin
V0221,Play,,Play
V0223,Play,,Play
V0236,Play,Play,
V0240,Play,,Play
V0243,Play,,Play
V0244,Play,,Play
V0245,Play,,Play
V0246,Play,,Play
V0247,Play,Play,
V0248,Play,,Play
V0249,Play,,Play
V0252,Play,,Play
V0254,"Play, Royal",,"Play, Royal"
V0258,"Play, Royal",,"Play, Royal"
V0260,Play,,Play
V0261,Play,,Play
V0263,Play,,Play
V0264,Qilin,,Qilin
V0265,"Maze, Play",,"Maze, Play"
V0266,Qilin,,Qilin
V0267,Play,Play,
V0268,"Hive, Play",,"Hive, Play"
V0276,Play,,Play
V0281,Play,,Play
V0291,"INC, Play","INC, Play",
V0293,Play,Play,
V0297,Play,Play,
V0299,Play,,Play
V0302,Play,,Play
V0308,"Play, Qilin",,"Play, Qilin"
V0310,Play,Play,
V0313,Play,,Play
V0316,Play,,Play
V0321,Play,,Play
V0326,Play,,Play
V0328,Play,,Play
V0331,Play,Play,
V0332,"Play, Qilin",,"Play, Qilin"
V0335,Qilin,,Qilin
V0336,Qilin,,Qilin
V0337,Maze,,Maze
V0338,"INC, Play",Play,INC
V0340,Play,,Play
V0341,Qilin,Qilin,
V0345,"Play, Qilin",,"Play, Qilin"
V0348,Qilin,,Qilin
V0349,Play,,Play
V0350,"Play, Qilin",,"Play, Qilin"
V0352,Play,,Play
V0353,"Play, Qilin",,"Play, Qilin"
V0355,Play,,Play
V0361,Play,,Play
V0362,"Play, Qilin",,"Play, Qilin"
V0365,Play,,Play
V0366,"Play, Royal",Royal,Play
V0376,"INC, Play","INC, Play",
V0378,Hive,,Hive
V0379,"Play, Qilin",,"Play, Qilin"
V0380,Play,,Play
V0381,Play,,Play
V0382,Play,,Play
V0383,Play,,Play
V0395,Play,,Play
V0397,Play,,Play
V0398,Play,,Play
V0399,Play,,Play
V0401,Play,,Play
V0403,Play,,Play
V0404,Play,Play,
V0408,Play,,Play
V0410,Play,Play,
V0411,"Play, Qilin",,"Play, Qilin"
V0412,Play,,Play
V0414,Play,,Play
V0415,Cl0p,Cl0p,
V0416,"Play, Qilin",Play,Qilin
V0419,Play,Play,
V0420,Qilin,Qilin,
V0421,"Play, Qilin","Play, Qilin",
V0426,Play,,Play
V0428,Medusa,Medusa,
V0429,Play,,Play
V0440,Play,,Play
V0442,Play,,Play
V0445,Play,,Play
V0446,Play,Play,
V0447,Play,Play,
V0448,Qilin,Qilin,
V0449,Play,,Play
V0451,Play,Play,
V0452,Play,Play,
V0454,Play,,Play
V0457,Qilin,,Qilin
V0458,Play,Play,
V0459,"Play, Qilin",,"Play, Qilin"
V0460,Play,Play,
V0465,Play,Play,
V0467,Royal,,Royal
V0472,Royal,,Royal
V0473,"Hive, Play",Hive,Play
V0474,Play,,Play
V0476,Play,Play,
V0477,Qilin,Qilin,
V0478,Play,Play,
V0484,Qilin,,Qilin
V0488,Play,,Play
V0489,Play,,Play
V0490,"Cactus, Play, Royal","Cactus, Royal",Play
V0491,Play,,Play
V0492,Qilin,,Qilin
V0493,Play,,Play
V0494,Play,,Play
V0495,"Play, Qilin",,"Play, Qilin"
V0496,Play,,Play
V0497,Play,,Play
V0498,Play,,Play
V0499,Play,,Play
V0503,Play,,Play
V0505,Play,Play,
V0508,Hive,Hive,
V0510,Royal,Royal,
V0511,"Play, Royal",,"Play, Royal"
V0512,Play,,Play
V0515,Play,,Play
V0516,Play,,Play
V0518,"Play, Qilin",,"Play, Qilin"
V0519,Maze,Maze,
V0520,Play,,Play
V0524,Play,Play,
V0525,Play,,Play
