Video_ID,Channel_ID,Channel_Name,Video_Title,YouTube_URL,Transcript_Path,Year,DurationSeconds,Transcript_Provider,Family_Count,Family_List,Tool_Total_Mentions,Tool_List,Tactic_Total_Mentions,Dominant_Tactic,Platform_Signal,Tactic_Initial_Access,Tactic_Execution,Tactic_Persistence,Tactic_Privilege_Escalation,Tactic_Credential_Access,Tactic_Lateral_Movement,Tactic_Discovery,Tactic_Command_and_Control,Tactic_Exfiltration,Tactic_Impact,Tool_Cobalt_Strike,Tool_Mimikatz,Tool_PsExec,Tool_Rclone,Tool_MegaNZ,Tool_AnyDesk,Tool_TeamViewer,Tool_BloodHound,Platform_Windows,Platform_Linux,Platform_ESXi
V0001,C01,The DFIR Report,Blurring the Lines: Intrusion Shows Connection With Three Major Ransomware Gangs,https://www.youtube.com/watch?v=OfwHWjZvvuE,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C01_The_DFIR_Report/V0001.txt,2025,382,local_asr_whisper,1,Play,1,PsExec,34,Discovery,Windows,6,3,4,0,0,3,10,3,4,1,0,0,1,0,0,0,0,0,6,0,1
V0002,C01,The DFIR Report,Hide Your RDP: Password Spray Leads to RansomHub Deployment,https://www.youtube.com/watch?v=5fu-wYbBvuY,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C01_The_DFIR_Report/V0002.txt,2025,343,local_asr_whisper,0,,2,Mimikatz,25,Initial_Access,Windows,9,0,0,0,1,0,6,1,3,5,0,2,0,0,0,0,0,0,1,0,0
V0003,C01,The DFIR Report,Another Confluence Bites the Dust: Falling to ELPACO-team Ransomware,https://www.youtube.com/watch?v=7HD-RYqIm3Q,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C01_The_DFIR_Report/V0003.txt,2025,365,local_asr_whisper,0,,3,"Cobalt_Strike, AnyDesk",29,Initial_Access,Windows,10,1,0,1,3,5,2,5,2,0,1,0,0,0,0,2,0,0,1,0,0
V0004,C01,The DFIR Report,Fake Zoom Ends in BlackSuit Ransomware,https://www.youtube.com/watch?v=hpgjomPwHp4,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C01_The_DFIR_Report/V0004.txt,2025,371,local_asr_whisper,0,,6,"Cobalt_Strike, PsExec",33,Command_and_Control,Windows,4,3,0,0,0,4,2,14,1,5,4,0,2,0,0,0,0,0,6,0,0
V0005,C01,The DFIR Report,Confluence Exploit Leads to LockBit Ransomware,https://www.youtube.com/watch?v=BMTtJLEJRGQ,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C01_The_DFIR_Report/V0005.txt,2025,341,local_asr_whisper,0,,3,"Cobalt_Strike, Rclone",39,Initial_Access,Windows,10,7,0,0,0,2,4,7,5,4,1,0,0,2,0,0,0,0,6,0,2
V0006,C01,The DFIR Report,DFIR Discussions: The Curious Case of an Egg-Cellent Resume,https://www.youtube.com/watch?v=Fh_OcBYjzL8,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C01_The_DFIR_Report/V0006.txt,2025,2392,local_asr_whisper,1,Play,1,Cobalt_Strike,42,Execution,Windows,10,17,2,0,0,3,2,6,0,2,1,0,0,0,0,0,0,0,5,1,0
V0007,C01,The DFIR Report,The Curious Case of an Egg-Cellent Resume,https://www.youtube.com/watch?v=CQ0zOWnHfHE,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C01_The_DFIR_Report/V0007.txt,2024,431,local_asr_whisper,0,,3,Cobalt_Strike,32,Command_and_Control,,9,1,2,1,0,3,4,11,0,1,3,0,0,0,0,0,0,0,0,0,0
V0008,C01,The DFIR Report,Nitrogen Campaign Drops Sliver and Ends With BlackCat Ransomware,https://www.youtube.com/watch?v=7AhSj5GGVRw,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C01_The_DFIR_Report/V0008.txt,2024,406,local_asr_whisper,0,,4,Cobalt_Strike,36,Command_and_Control,Windows,2,2,4,2,1,4,5,12,2,2,4,0,0,0,0,0,0,0,7,0,0
V0009,C01,The DFIR Report,BlackSuit Ransomware,https://www.youtube.com/watch?v=t2sxRDE0Pr4,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C01_The_DFIR_Report/V0009.txt,2024,316,local_asr_whisper,0,,10,Cobalt_Strike,47,Command_and_Control,Windows,4,8,2,0,0,1,3,24,0,5,10,0,0,0,0,0,0,0,3,0,0
V0010,C01,The DFIR Report,"Threat Actors' Toolkit: Leveraging Sliver, PoshC2 & Batch Scripts",https://www.youtube.com/watch?v=wyg-YtiUFUo,/tmp/claude-1004/-home-henry-k-Agentic-SABRE/95ae63e3-b8ae-4ac4-90bb-156d1bff9227/scratchpad/RansKnow_repo2/transcripts/C01_The_DFIR_Report/V0010.txt,2024,346,local_asr_whisper,0,,1,Cobalt_Strike,20,Command_and_Control,Windows,0,1,0,0,0,0,0,16,0,3,1,0,0,0,0,0,0,0,4,1,0
