macro_f1,macro_f1_all_classes,micro_f1,n_classes_present,n_train,n_test,task,feature,model,split,n_folds
0.12944349499165073,0.1055919667258465,0.19332231109022296,14.8,827.2,206.8,family,embedding,logreg,stratified_random,5
0.10664817384291987,0.08448987546792511,0.17499354446722865,14.2,827.2,206.8,family,embedding,logreg,channel_grouped,5
0.03209604611954098,0.03209604611954098,0.1613588110403397,18.0,217.0,817.0,family,embedding,logreg,temporal,1
0.08125927126293508,0.06510264345594195,0.150393914179465,14.8,827.2,206.8,family,embedding,svm,stratified_random,5
0.06146514083831924,0.04857633522582704,0.13795990154610843,14.2,827.2,206.8,family,embedding,svm,channel_grouped,5
0.026247852298041094,0.026247852298041094,0.1456953642384106,18.0,217.0,817.0,family,embedding,svm,temporal,1
0.0182010582010582,0.014943698277031611,0.07025890418835753,14.8,827.2,206.8,family,embedding,random_forest,stratified_random,5
0.010088878189128321,0.008122165006222978,0.0367059080021636,14.2,827.2,206.8,family,embedding,random_forest,channel_grouped,5
0.0,0.0,0.0,18.0,217.0,817.0,family,embedding,random_forest,temporal,1
0.07881742020754859,0.06481625687268569,0.07457976935532278,14.8,827.2,206.8,family,embedding,gbm,stratified_random,5
0.01618768719609056,0.012743429410096077,0.016609165586521424,14.2,827.2,206.8,family,embedding,gbm,channel_grouped,5
0.023436081242532856,0.023436081242532856,0.09523809523809523,18.0,217.0,817.0,family,embedding,gbm,temporal,1
0.26403038788091165,,0.5260869565217392,10.8,827.2,206.8,dominant_tactic,embedding,logreg,stratified_random,5
0.2127905317176777,,0.4641667839219548,10.8,827.2,206.8,dominant_tactic,embedding,logreg,channel_grouped,5
0.18712320830732773,,0.5055079559363526,11.0,217.0,817.0,dominant_tactic,embedding,logreg,temporal,1
0.2409593971688826,,0.504812157028282,10.8,827.2,206.8,dominant_tactic,embedding,svm,stratified_random,5
0.1872877708881405,,0.44387223863796255,10.8,827.2,206.8,dominant_tactic,embedding,svm,channel_grouped,5
0.17995176479212183,,0.5042839657282742,11.0,217.0,817.0,dominant_tactic,embedding,svm,temporal,1
0.15149207094696088,,0.5299563810327845,10.8,827.2,206.8,dominant_tactic,embedding,random_forest,stratified_random,5
0.11226914128574765,,0.4980441817925989,10.8,827.2,206.8,dominant_tactic,embedding,random_forest,channel_grouped,5
0.0988876492413787,,0.5116279069767442,11.0,217.0,817.0,dominant_tactic,embedding,random_forest,temporal,1
0.2347382618296109,,0.5763566436846302,10.8,827.2,206.8,dominant_tactic,embedding,gbm,stratified_random,5
