macro_f1,macro_f1_all_classes,micro_f1,n_classes_present,n_train,n_test,task,feature,model,split,n_folds
1.0,0.8222222222222222,1.0,14.8,827.2,206.8,family,structured,rule_based_ka,stratified_random,5
1.0,0.8222222222222222,1.0,14.8,827.2,206.8,family,structured,rule_based_ka,channel_grouped,5
1.0,1.0,1.0,18.0,217.0,817.0,family,structured,rule_based_ka,temporal,1
0.07736340727003614,0.06320376847646955,0.0913863057676813,14.8,827.2,206.8,family,structured,logreg,stratified_random,5
0.07014918018283473,0.056768093532060096,0.08306266981642116,14.8,827.2,206.8,family,structured,logreg,channel_grouped,5
0.03986746718889576,0.03986746718889576,0.07902163687676388,18.0,217.0,817.0,family,structured,logreg,temporal,1
0.07586906985707499,0.06194118324344668,0.08943897470253385,14.8,827.2,206.8,family,structured,svm,stratified_random,5
0.06783899176711711,0.055389224616641655,0.08040153258843649,14.8,827.2,206.8,family,structured,svm,channel_grouped,5
0.038800776870142856,0.038800776870142856,0.08227228207639568,18.0,217.0,817.0,family,structured,svm,temporal,1
0.01435128205128205,0.012524216524216526,0.04178072916570343,14.8,827.2,206.8,family,structured,random_forest,stratified_random,5
0.00625,0.005555555555555555,0.009523809523809523,14.8,827.2,206.8,family,structured,random_forest,channel_grouped,5
0.0,0.0,0.0,18.0,217.0,817.0,family,structured,random_forest,temporal,1
0.07232464058902169,0.057833296678614254,0.05450079410125216,14.8,827.2,206.8,family,structured,gbm,stratified_random,5
0.047187601210016736,0.039144573032596344,0.0329560242816276,14.8,827.2,206.8,family,structured,gbm,channel_grouped,5
0.01713267127665192,0.01713267127665192,0.0547945205479452,18.0,217.0,817.0,family,structured,gbm,temporal,1
1.0,,1.0,10.8,827.2,206.8,dominant_tactic,structured,rule_based_ka,stratified_random,5
1.0,,1.0,10.2,827.2,206.8,dominant_tactic,structured,rule_based_ka,channel_grouped,5
1.0,,1.0,11.0,217.0,817.0,dominant_tactic,structured,rule_based_ka,temporal,1
0.7431747858264774,,0.7842924815909197,10.8,827.2,206.8,dominant_tactic,structured,logreg,stratified_random,5
0.7329811518464528,,0.7910651470381314,10.2,827.2,206.8,dominant_tactic,structured,logreg,channel_grouped,5
0.612511925721928,,0.6634026927784578,11.0,217.0,817.0,dominant_tactic,structured,logreg,temporal,1
0.801138219913477,,0.8500914591248063,10.8,827.2,206.8,dominant_tactic,structured,svm,stratified_random,5
0.7890246527288688,,0.8385066366493129,10.2,827.2,206.8,dominant_tactic,structured,svm,channel_grouped,5
0.6528180650703802,,0.7368421052631579,11.0,217.0,817.0,dominant_tactic,structured,svm,temporal,1
0.6742508480071212,,0.8723230617700859,10.8,827.2,206.8,dominant_tactic,structured,random_forest,stratified_random,5
0.6232479965406037,,0.8558557290933821,10.2,827.2,206.8,dominant_tactic,structured,random_forest,channel_grouped,5
0.5044579361154381,,0.8127294981640147,11.0,217.0,817.0,dominant_tactic,structured,random_forest,temporal,1
0.8132988503151986,,0.934233853946813,10.8,827.2,206.8,dominant_tactic,structured,gbm,stratified_random,5
0.826282083128395,,0.9322780357394118,10.2,827.2,206.8,dominant_tactic,structured,gbm,channel_grouped,5
0.6418813673467785,,0.8555691554467564,11.0,217.0,817.0,dominant_tactic,structured,gbm,temporal,1
