macro_f1,macro_f1_all_classes,micro_f1,n_classes_present,n_train,n_test,task,feature,model,split,n_folds
1.0,0.8222222222222222,1.0,14.8,827.2,206.8,family,tfidf,rule_based_ka,stratified_random,5
1.0,0.8222222222222222,1.0,14.8,827.2,206.8,family,tfidf,rule_based_ka,channel_grouped,5
1.0,1.0,1.0,18.0,217.0,817.0,family,tfidf,rule_based_ka,temporal,1
0.074994188994189,0.06064486564486565,0.1688940832567612,14.8,827.2,206.8,family,tfidf,logreg,stratified_random,5
0.048084532480136874,0.035929150214864494,0.12952814133566415,14.8,827.2,206.8,family,tfidf,logreg,channel_grouped,5
0.0041928721174004195,0.0041928721174004195,0.028169014084507043,18.0,217.0,817.0,family,tfidf,logreg,temporal,1
0.07898386757210285,0.06356958739311681,0.16933494225995838,14.8,827.2,206.8,family,tfidf,svm,stratified_random,5
0.03422460165107224,0.026548609342726986,0.11888178459789711,14.8,827.2,206.8,family,tfidf,svm,channel_grouped,5
0.0033003300330033004,0.0033003300330033004,0.021660649819494584,18.0,217.0,817.0,family,tfidf,svm,temporal,1
0.9205028960405006,,0.9439050701186623,10.8,827.2,206.8,dominant_tactic,tfidf,rule_based_ka,stratified_random,5
0.9173975278021793,,0.9438863092725482,10.2,827.2,206.8,dominant_tactic,tfidf,rule_based_ka,channel_grouped,5
0.9238441933949517,,0.944920440636475,11.0,217.0,817.0,dominant_tactic,tfidf,rule_based_ka,temporal,1
0.2445644507299419,,0.5628675953285494,10.8,827.2,206.8,dominant_tactic,tfidf,logreg,stratified_random,5
0.20717973380555804,,0.5231602645279302,10.2,827.2,206.8,dominant_tactic,tfidf,logreg,channel_grouped,5
0.1253747769317875,,0.4920440636474908,11.0,217.0,817.0,dominant_tactic,tfidf,logreg,temporal,1
0.24450760184880377,,0.5531823085221144,10.8,827.2,206.8,dominant_tactic,tfidf,svm,stratified_random,5
0.20940347065253667,,0.5125322452042587,10.2,827.2,206.8,dominant_tactic,tfidf,svm,channel_grouped,5
0.12618073802918348,,0.48714810281517745,11.0,217.0,817.0,dominant_tactic,tfidf,svm,temporal,1
1.0,,1.0,4.0,827.2,206.8,platform,tfidf,rule_based_ka,stratified_random,5
1.0,,1.0,4.0,827.2,206.8,platform,tfidf,rule_based_ka,channel_grouped,5
1.0,,1.0,4.0,217.0,817.0,platform,tfidf,rule_based_ka,temporal,1
0.38198869006788244,,0.5909432015383894,4.0,827.2,206.8,platform,tfidf,logreg,stratified_random,5
0.3530484026844708,,0.5792786454669105,4.0,827.2,206.8,platform,tfidf,logreg,channel_grouped,5
0.3086379436846727,,0.5642594859241126,4.0,217.0,817.0,platform,tfidf,logreg,temporal,1
0.3478638344952607,,0.571586698560105,4.0,827.2,206.8,platform,tfidf,svm,stratified_random,5
0.34102107296866724,,0.5647483701514938,4.0,827.2,206.8,platform,tfidf,svm,channel_grouped,5
0.3032619686161409,,0.554467564259486,4.0,217.0,817.0,platform,tfidf,svm,temporal,1
1.0,0.9714285714285715,1.0,6.8,827.2,206.8,tool,tfidf,rule_based_ka,stratified_random,5
1.0,0.9428571428571428,1.0,6.6,827.2,206.8,tool,tfidf,rule_based_ka,channel_grouped,5
1.0,1.0,1.0,7.0,217.0,817.0,tool,tfidf,rule_based_ka,temporal,1
0.20036308720519247,0.1869068275083313,0.24079436420899833,6.8,827.2,206.8,tool,tfidf,logreg,stratified_random,5
0.035147392290249435,0.035147392290249435,0.06859903381642511,6.6,827.2,206.8,tool,tfidf,logreg,channel_grouped,5
0.05414874980092371,0.05414874980092371,0.09448818897637795,7.0,217.0,817.0,tool,tfidf,logreg,temporal,1
0.1775846935510801,0.16684039583199245,0.22944001103593634,6.8,827.2,206.8,tool,tfidf,svm,stratified_random,5
0.029554043839758126,0.029554043839758126,0.05409317051108096,6.6,827.2,206.8,tool,tfidf,svm,channel_grouped,5
0.03554340396445659,0.03554340396445659,0.064,7.0,217.0,817.0,tool,tfidf,svm,temporal,1
1.0,,1.0,2.0,827.2,206.8,relevance,tfidf,rule_based_ka,stratified_random,5
1.0,,1.0,2.0,827.2,206.8,relevance,tfidf,rule_based_ka,channel_grouped,5
1.0,,1.0,2.0,217.0,817.0,relevance,tfidf,rule_based_ka,temporal,1
0.6902089524270381,,0.6924346888044651,2.0,827.2,206.8,relevance,tfidf,logreg,stratified_random,5
0.6627106909366112,,0.6663289714366118,2.0,827.2,206.8,relevance,tfidf,logreg,channel_grouped,5
0.6324888938525303,,0.6450428396572827,2.0,217.0,817.0,relevance,tfidf,logreg,temporal,1
0.6840926698844852,,0.6866422775667183,2.0,827.2,206.8,relevance,tfidf,svm,stratified_random,5
0.6474745497556913,,0.6508747244500727,2.0,827.2,206.8,relevance,tfidf,svm,channel_grouped,5
0.6341459648429297,,0.6450428396572827,2.0,217.0,817.0,relevance,tfidf,svm,temporal,1
