macro_f1,macro_f1_all_classes,micro_f1,n_classes_present,n_train,n_test,task,feature,model,split,n_folds
0.013495238095238093,0.009396825396825398,0.024912864912864912,14.8,827.2,206.8,family,tfidf,random_forest,stratified_random,5
0.0,0.0,0.0,14.8,827.2,206.8,family,tfidf,random_forest,channel_grouped,5
0.0,0.0,0.0,18.0,217.0,817.0,family,tfidf,random_forest,temporal,1
0.06290448261416003,0.04900670814649309,0.11136017095330608,14.8,827.2,206.8,family,tfidf,gbm,stratified_random,5
0.039655696403890425,0.031657217529250554,0.10215018346486227,14.8,827.2,206.8,family,tfidf,gbm,channel_grouped,5
0.028169897735115128,0.028169897735115128,0.16272965879265092,18.0,217.0,817.0,family,tfidf,gbm,temporal,1
0.14994199372428807,,0.5144927536231884,10.8,827.2,206.8,dominant_tactic,tfidf,random_forest,stratified_random,5
0.10031182020334364,,0.47863139627597207,10.2,827.2,206.8,dominant_tactic,tfidf,random_forest,channel_grouped,5
0.09768490842657483,,0.5116279069767442,11.0,217.0,817.0,dominant_tactic,tfidf,random_forest,temporal,1
0.3737758975124882,,0.7311430045495052,10.8,827.2,206.8,dominant_tactic,tfidf,gbm,stratified_random,5
0.35200667567660615,,0.7136578959711082,10.2,827.2,206.8,dominant_tactic,tfidf,gbm,channel_grouped,5
0.21271314135344993,,0.6266829865361077,11.0,217.0,817.0,dominant_tactic,tfidf,gbm,temporal,1
0.39744007963734973,,0.7495427043759675,4.0,827.2,206.8,platform,tfidf,random_forest,stratified_random,5
0.40409936848471756,,0.7630880352703907,4.0,827.2,206.8,platform,tfidf,random_forest,channel_grouped,5
0.3493754560746575,,0.6621787025703795,4.0,217.0,817.0,platform,tfidf,random_forest,temporal,1
0.6057017300651313,,0.8781483044885323,4.0,827.2,206.8,platform,tfidf,gbm,stratified_random,5
0.6225263015089821,,0.8790722761596548,4.0,827.2,206.8,platform,tfidf,gbm,channel_grouped,5
0.5332772954294159,,0.835985312117503,4.0,217.0,817.0,platform,tfidf,gbm,temporal,1
0.03930117501546073,0.037940630797773656,0.10338220918866078,6.8,827.2,206.8,tool,tfidf,random_forest,stratified_random,5
0.0,0.0,0.0,6.6,827.2,206.8,tool,tfidf,random_forest,channel_grouped,5
0.0,0.0,0.0,7.0,217.0,817.0,tool,tfidf,random_forest,temporal,1
0.05049886621315193,0.04913832199546485,0.09838288003373392,6.8,827.2,206.8,tool,tfidf,gbm,stratified_random,5
0.009523809523809523,0.008163265306122448,0.0125,6.6,827.2,206.8,tool,tfidf,gbm,channel_grouped,5
0.02368742368742369,0.02368742368742369,0.04316546762589928,7.0,217.0,817.0,tool,tfidf,gbm,temporal,1
0.8194057368816885,,0.8201303878804934,2.0,827.2,206.8,relevance,tfidf,random_forest,stratified_random,5
0.8061980318876818,,0.8075230992917781,2.0,827.2,206.8,relevance,tfidf,random_forest,channel_grouped,5
0.7827796762927635,,0.7833537331701347,2.0,217.0,817.0,relevance,tfidf,random_forest,temporal,1
0.9030675511477941,,0.903292528493035,2.0,827.2,206.8,relevance,tfidf,gbm,stratified_random,5
0.8815852661957593,,0.8829792223629287,2.0,827.2,206.8,relevance,tfidf,gbm,channel_grouped,5
0.8516972227264477,,0.8518971848225214,2.0,217.0,817.0,relevance,tfidf,gbm,temporal,1
